reference ,created_time                ,updated_time                ,account_reference ,amount   ,settled_time
7WMYdEHo  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,Bs36Lr9f          ,-4541796 ,2024-08-05T08:00:00Z
JaGWB3ZU  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,FXSs9CVf          ,1362539  ,2024-08-05T08:00:00Z
afxincoP  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,xDSpGPK7          ,360637   ,2024-08-05T08:00:00Z
d5stXMKR  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,26CACQcy          ,-9493    ,2024-08-05T08:00:00Z
sfdqwVNR  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,tQqodHcm          ,84114    ,2024-08-05T08:00:00Z
e2sCNZ5z  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,cHd76DUN          ,-2328    ,2024-08-05T08:00:00Z
8r76wVYW  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,hWeU9mSG          ,-4347    ,2024-08-05T08:00:00Z
TdoD5pJv  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,TA23Za6E          ,54905    ,2024-08-05T08:00:00Z
NszbVXFq  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,xa3Y4mos          ,1550834  ,2024-08-05T08:00:00Z
jYXSopQc  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,oo3dKjpa          ,9665     ,2024-08-05T08:00:00Z
Xed6jqVd  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,FowrhphW          ,644306   ,2024-08-05T08:00:00Z
P6aBb6Tx  ,2024-09-05T12:56:45.979350Z ,2024-09-05T12:56:45.979350Z ,uHAYzo9i          ,117805   ,2024-08-05T08:00:00Z
uLFWWdBp  ,2024-09-05T12:56:45.979350Z ,2024-10-04T13:55:30.564722Z ,SZjph9v8          ,0        ,2024-08-05T08:00:00Z

p4hfvDV9  ,2024-09-05T13:47:41.843467Z ,2024-09-05T13:47:41.843467Z ,uHAYzo9i          ,50000    ,2024-09-05T08:00:00Z
